"key","en","pl","fr","de"
"CANCEL","cancel","anuluj","cancel_fr","widerrufen "
"PROCEED","proceed","dalej","proceed_fr","weiter"
"ENTER_YOUR_NAME","enter your name","podaj swoje imie","enter_your_name_fr","Gib deinen Namen ein"
"ENGLISH","english","angielski","english_fr","Englisch"
"GERMAN","german","niemiecki","german_fr","Deutsch"
"FRENCH","french","francuski","french_fr","Französisch"
"POLISH","polish","polski","polish_fr","Polnisch"
"SETTINGS","settings","ustawienia","settings_fr","Einstellungen"
"ANIMATIONS","animations","animacje","animations_fr","Bildschirm anpassen"
"GAME","game","gra","game_fr","Spiel"
"LANGUAGE","language:","jezyk:","language_fr","Sprache:"
"BATTLE_STEP_TIME","battle step time: {time}","czasu ruchu: {time}","battle_step_time_fr","Kampfzeit"
"SCREEN_CHANGE_TIME","screen_change_time: {time}","czas zmiany ekranu: {time}","screen_change_time_fr","Bildwechselzeit"
"DELETE","delete","usun","delete_fr","Löschen"
"LOAD","load","wczytaj","load_fr","Laden"
"NEW_GAME","new game","nowa gra","new_game_fr","Neues spiel"
"PLAY","play","graj","play_fr","Start"
"QUIT","quit","wyjdz","quit_fr","Verlassen"
"CHAPTER","chapter: {chapter}","rozdzial: {chapter}","chapter_fr","Kapitel"
"LEVEL","level: {level}","poziom: {level}","level_fr","Level"
"UNITS","units: {units}","jednostki: {units}","units_fr","Karte"
"UNIT","unit","jednostka","unit_fr","Karten"
"EXIT_TO_MAIN_MENU","exit to main menu?","czy chcesz wyjsc do glownego ekranu?","exit_to_main_menu_fr","Zurück zum Hauptmenü"
"YES","yes","tak","yes_fr","Ja"
"CONFIRM_DELETE_SAVE","delete save pernamently?","czy na pewno chcesz usunac save?","confirm_delete_save_fr","Wirklich löschen ?"
"START","start","start","start_fr","Start"
"DEFEAT","defeat","porazka","defeat_fr","Verlust"
"VICTORY","victory","zwyciestwo","victory_fr","Sieg"
"TIE","tie","remis","tie_fr","Verbinden"
"PAUSE","pause","pauza","pause_fr","Pause"
"ROUND_PHASE","round: {round}\nphase: {phase} of 3","runda: {round}\nfaza: {phase} z 3","round_phase_fr","Runde 1"
"SELECT","select","wybierz","select_fr","Auswählen "
"SELECT_2_UNITS","select 2 units","wybierz 2 jednostki","select_2_units_fr","Wähle 2 karten aus"
"SELECT_REWARD","select reward","wybierz nagrode","select_reward_fr","Belohnung auswählen"
"REROLL","reroll","wylosuj inne","reroll_fr","Neu würfeln"
"ATTACK","attack","atak","attack_fr","Angreifen"
"DEFEND","defend","obrona","defend_fr","Verteidigen"
"PREVENTED","prevented","anulowany","prevented_fr","Vermeiden"
"EXHAUSTED","exhausted","wyczerpany","exhausted_fr","Aufgebraucht"
"POISON","poison","zatrucie","poison_fr","Gift"
"CHANGE","change","zmien","change_fr","Wechseln"
"DAMAGE","damage","obrazenia","damage_fr","Schaden"
"DEFENCE","defence","obrona","defense_fr","Verteidigung"
"HELP","help","pomoc","help_fr","Hilfe"
"NAME","name","nazwa","name_fr","Name"
"CHARACTER","character","postac","character_fr","Spieler"
"","","","",""
"","","","",""
"DIALOG_0000_0","Welcome to the project autobattler. I am Captain Blaze and I will guide you through your first steps on the battlefield.","Witam w projekcie autobattler. Jestem Kapitan Blaze i wprowadze Cie w pierwsze kroki na polu walki.","dialog_0000_0_fr","Willkommen beim autobattler-Projekt. Ich bin Captain Blaze und werde dich durch deine ersten Schritte auf dem Schlachtfeld führen."
"DIALOG_0000_1","Your team is your most important asset. Always carefully choose your lineup.","Twoja druzyna jest zawsze najwazniejsza. Uwazenie wybieraj kto ma za Ciebie walczyc.","dialog_0000_1_fr","Dein Team ist dein wichtigstes Kapital. Wähle es sorgfältig aus."
"DIALOG_0000_2","You can inspect the unit by pressing it with LMB.","Mozesz sprawdzic szczegoly danej jednostki klikajac ja lewym przyciskiem myszy.","dialog_0000_2_fr","Linke Maustaste um karte anzusehen"
"DIALOG_0000_3","Pick your fighters and carry on to the next screen to select your first assignments.","A teraz wybierz swoj zespol i przejdz do kolejnego ekranu, aby dostac swoje pierwsze zadanie.","dialog_0000_3_fr","Wähle deinen Kämpfer aus und gehe zum nächsten Bildschirm, um dein ersten Auftrag auszuwählen."
"","","","",""
"DIALOG_0001_0","This is world map. Highlighted locations represent your possible assignments.","Witaj w ekranie mapy swiata. Mozesz tu wyznaczyc kolejny cel podrozy z posrod podswietlonych lokalizacji.","dialog_0001_0_fr","Dies ist die Weltkarte. Die markierten Orte stellen Ihre Aufgaben dar."
"DIALOG_0001_1","If you need help, you can find it in the panel on the left side.","Szczegoly gry mozesz znalezc w panelu pomocy po lewej stronie ekranu.","dialog_0001_0_fr","Wenn du Hilfe benötigst, findest du diese im Fenster auf der linken Seite."
"DIALOG_0001_2","The game is automatically saved every time you come back to the assignment board.","Gra zapisuje sie automatycznie za kazdy razem kiedy powracasz do tego ekranu.","dialog_0001_2_fr","Spiel speichert automatisch, sobald du zur Weltkarte zurückkehrst."
"DIALOG_0001_3","Select one of the highlighted locations and start your journey!","Wybierz jeden z podswietlonych celow podrozy i rozpocznij swoja przygode!","dialog_0001_3_fr","Wähle einen der markierten Orte aus und beginne mit deiner Reise!"
"","","","",""
"DIALOG_0002_0","Prepare for the battle!","Przygotuj sie do walki!","dialog_0002_0_fr","Bereite dich auf den kämpf vor"
"DIALOG_0002_1","Inspect enemies and pick the team that will face them.","Sprawdz swoich przeciwnikow i wybierz druzyne ktora stawi im czola.","dialog_0002_1_fr","sieh dir die gegnerischen karten an und wähle aus wer gegen sie antreten soll."
"DIALOG_0002_2","Once ready, press ""start"" to begin the fight.","Kiedy bedziesz gotowy, nacisnij ""start"", aby rozpoczac walke.","dialog_0002_2_fr","Bist du bereit? Dann drücke „start“ um mit dem kämpf zu beginnen."
"","","","",""
"DIALOG_0003_0","Congrats! You won your first battle! Proceed to collect rewards.","Gratulacje! Wygrales swoja pierwsza bitwe! Przejdz dalej aby odebrac nagrody.","dialog_0003_0_fr","Glückwunsch, du hast deinen ersten kämpf gewonnen. Fahre fort um deine Belohnung zu erhalten."
"","","","",""
"SKILL_ARCHER_TRAINING_DESC","Increase damage by 10% for every other archer on the team.","Zwieksz obrazenia o 10% za kazdego pozostalego lucznika w druzynie.","skill_archer_training_desc_fr","Erhöht den Schaden für jeden anderen Bogenschützen im Team um 10%."
"SKILL_ARROW_BARRAGE_DESC","Rain down a barrage of arrows upon all enemies and reduce their defense by 10%.","Zasyp przeciwnikow strzalami i zmniejsz ich obrone o 10%.","skill_arrow_barrage_desc_fr","Lasst eine Flut von Pfeilen auf alle Feinde niederregnen und reduziere ihre Verteidigung um 10%."
"SKILL_AZURE_MOMENTUM_DESC","Next two units activate their active skills two more times in this phase.","Nastepne dwie jednostki aktywuja swoj skill dodatkowe dwa razy w tej fazie.","skill_azure_momentum_fr","Die nächsten zwei karten aktivieren ihre aktiven Fähigkeiten noch zweimal in dieser Phase."
"SKILL_BEARS_MIGHT_DESC","If unit on the right is defending this phase, it defends for extra defence equal to this characters defence.","Jesli jednostka po prawej broni w tej fazie, jej obrona jest zwiekszona o obrone tej jednostki.","skill_bears_might_fr","Wenn eine Karte in dieser Phase auf der rechten Seite verteidigt wird, erhält sie einen zusätzlichen Verteidigungswert, der der Verteidigung dieser Figur entspricht."
"SKILL_BLOOD_RAGE_DESC","Increase damage by 20%.","Zwieksz obrazenia o 20%.","skill_blood_rage_fr","Schaden um 20% erhöhen."
"SKILL_LOKI_SWAP_DESC","Swap skills of the units with the highest dmg in each team.","Zamien umiejetnosci jednostek z najwyzszym atakiem w kazdej z druzyn.","skill_loki_swap_desc_fr","Tausche die Fähigkeiten der Karten mit dem höchsten Schaden in jedem Team."
